"","temperature_main","temperature_main","ASPump","FBRM","L50","L90","L10","W10","W50","W90","stirrer_main","SOLUPump","SOLVPump","SeedPump","Scale","CLEPump","Valve_position","stirrer_seed","stirrer_solution","CED10","CED50","CED90"
Time,H01:External T,H01:T Setpt,File  W: AS flow ,OPC R: Counts ,OPC R: L50 ,OPC R: L90 ,OPC R: L10 ,OPC R: W10 ,OPC R: W50 ,OPC R: W90 ,S01:Stirrer speed  (Setpt),P02:Pump speed  (Setpt),P01:Pump speed  (Setpt),P03:Pump speed  (Setpt),File R: AS Scale ,P04:Pump speed  (Setpt),File  W: Valve state,S02:Stirrer speed  (Setpt),S03:Stirrer speed  (Setpt),OPC R: CED10 micron,OPC R: CED50 micron,OPC R: CED90 micron
min,C,C,RPM,Counts,micron,micron,micron,micron,micron,micron,RPM,RPM,RPM,RPM,g,RPM,,RPM,RPM,,,
5.782,20.150,20.000,0.000,749.456,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
5.866,20.220,20.000,0.000,749.456,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
5.950,20.310,20.000,0.000,494.730,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
6.034,20.400,20.000,0.000,494.730,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
6.119,20.520,20.000,0.000,644.915,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
6.204,20.660,20.000,0.000,644.915,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
6.288,20.810,20.000,0.000,1150.502,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
6.371,20.990,20.000,0.000,1150.502,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
6.455,21.190,20.000,0.000,1304.552,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
6.539,21.380,20.000,0.000,1304.552,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
6.623,21.570,20.000,0.000,1316.176,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
6.707,21.770,20.000,0.000,1316.176,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
6.791,21.970,20.000,0.000,1217.835,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
6.875,22.190,20.000,0.000,1217.835,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
6.958,22.410,20.000,0.000,1455.638,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
7.042,22.620,20.000,0.000,1455.638,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
7.126,22.850,20.000,0.000,1275.315,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
7.210,23.090,20.000,0.000,1275.315,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
7.295,23.360,20.000,0.000,854.605,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
7.381,23.670,20.000,0.000,854.605,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
7.466,23.990,20.000,0.000,637.050,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
7.550,24.310,20.000,0.000,637.050,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.623,8.381,240.752
7.635,24.590,20.000,0.000,565.954,23.231,416.699,1.623,1.419,65.357,240.091,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.623,8.381,240.752
7.720,24.840,20.000,0.000,565.954,23.231,416.699,1.623,1.419,65.357,240.091,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.623,8.381,240.752
7.805,25.100,20.000,0.000,399.982,23.231,416.699,1.623,1.419,65.357,240.091,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.623,8.381,240.752
7.894,25.340,20.000,0.000,399.982,23.231,416.699,1.623,1.419,65.357,240.091,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.623,8.381,240.752
8.175,26.300,20.000,0.000,302.188,13.230,23.575,1.413,0.860,1.807,3.112,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.413,4.853,8.698
8.267,26.700,20.000,0.000,293.144,13.230,23.575,1.413,0.860,1.807,3.112,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.413,4.853,8.698
8.360,27.150,20.000,0.000,293.144,13.230,23.575,1.413,0.860,1.807,3.112,350.000,-29.943,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.413,4.853,8.698
8.450,27.630,20.000,0.000,313.265,13.230,23.575,1.413,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.413,4.853,8.698
8.543,28.230,20.000,0.000,313.265,13.230,23.575,1.413,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.304,3.845,8.343
8.634,28.820,20.000,0.000,329.501,4.303,22.454,1.304,0.922,1.877,3.538,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.304,3.845,8.343
8.727,29.220,20.000,0.000,329.501,4.303,22.454,1.304,0.922,1.877,3.538,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.304,3.845,8.343
8.818,29.400,20.000,0.000,310.294,4.303,22.454,1.304,0.922,1.877,3.538,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.304,3.845,8.343
8.910,29.450,20.000,0.000,310.294,4.303,22.454,1.304,0.922,1.877,3.538,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.304,3.845,8.343
9.002,29.440,20.000,0.000,780.019,4.303,22.454,1.304,0.922,1.877,3.538,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.304,3.845,8.343
9.094,29.360,20.000,0.000,780.019,2.235,17.054,1.188,0.957,1.914,3.468,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.188,2.235,6.599
9.186,29.170,20.000,0.000,459.256,2.235,17.054,1.188,0.957,1.914,3.468,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.188,2.235,6.599
9.279,28.910,20.000,0.000,373.036,2.235,17.054,1.188,0.957,1.914,3.468,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.188,2.235,6.599
9.370,28.600,20.000,0.000,373.036,2.235,17.054,1.188,0.957,1.914,3.468,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.188,2.235,6.599
9.455,28.300,20.000,0.000,321.259,2.235,17.054,1.188,0.957,1.914,3.468,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.188,2.235,6.599
9.541,27.970,20.000,0.000,321.259,2.235,17.054,1.188,0.957,1.914,3.468,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.188,2.235,8.914
9.626,27.630,20.000,0.000,319.285,15.198,24.236,1.750,0.854,1.805,3.109,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.750,5.548,8.914
9.710,27.310,20.000,0.000,319.285,15.198,24.236,1.750,0.854,1.805,3.109,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.750,5.548,8.914
9.796,26.960,20.000,0.000,325.920,15.198,24.236,1.750,0.854,1.805,3.109,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.750,5.548,8.914
9.881,26.640,20.000,0.000,325.920,15.198,24.236,1.750,0.854,1.805,3.109,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.750,5.548,8.914
9.967,26.320,20.000,0.000,337.318,15.198,24.236,1.750,0.854,1.805,3.109,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.750,5.548,8.914
10.051,26.020,20.000,0.000,337.318,15.198,24.236,1.750,0.854,1.805,3.109,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.750,4.769,8.672
10.136,25.720,20.000,0.000,352.275,12.512,23.336,1.395,0.927,1.883,3.385,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.395,4.769,8.672
10.222,25.420,20.000,0.000,352.275,12.512,23.336,1.395,0.927,1.883,3.385,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.395,4.769,8.672
10.308,25.140,20.000,0.000,295.965,12.512,23.336,1.395,0.927,1.883,3.385,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.395,4.769,8.672
10.394,24.890,20.000,0.000,295.965,12.512,23.336,1.395,0.927,1.883,3.385,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.395,4.769,8.672
10.479,24.620,20.000,0.000,327.842,12.512,23.336,1.395,0.927,1.883,3.385,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.395,4.769,8.672
10.565,24.360,20.000,0.000,327.842,12.512,23.336,1.395,0.927,1.883,3.385,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.309,4.021,8.473
10.649,24.130,20.000,0.000,351.744,11.169,22.841,1.309,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.309,4.021,8.473
10.735,23.890,20.000,0.000,351.744,11.169,22.841,1.309,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.309,4.021,8.473
10.820,23.670,20.000,0.000,316.990,11.169,22.841,1.309,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.309,4.021,8.473
10.906,23.460,20.000,0.000,316.990,11.169,22.841,1.309,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.309,4.021,8.473
10.991,23.270,20.000,0.000,368.059,11.169,22.841,1.309,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.309,4.021,8.473
11.076,23.080,20.000,0.000,368.059,11.169,22.841,1.309,0.862,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.358,4.467,8.491
11.160,22.910,20.000,0.000,291.978,12.367,23.241,1.358,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.358,4.467,8.491
11.246,22.720,20.000,0.000,291.978,12.367,23.241,1.358,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.358,4.467,8.491
