,,Mass
Time,File  W: AS ,File R: Mass 
min,rpm,g
14.05,0.5,1282.5
14.084,0.5,1282.6
14.117,0.5,1282.6
14.15,0.5,1282.6
14.184,0.5,1282.5
14.217,0.5,1282.5
14.25,0.5,1282.5
14.284,0.5,1282.5
14.317,0.5,1282.5
14.35,0.5,1282.5
14.384,0.5,1282.6
14.417,0.5,1282.6
14.45,0.5,1282.6
14.484,0.5,1282.5
14.517,0.5,1282.5
14.55,0.5,1282.5
14.584,0.5,1282.5
14.617,0.5,1282.5
14.65,0.5,1282.5
14.684,0.5,1282.5
14.717,0.5,1282.5
14.75,0.5,1282.5
14.784,0.5,1282.5
14.817,0.5,1282.5
14.85,0.5,1282.5
14.884,0.5,1282.5
14.917,0.5,1282.5
14.95,0.5,1282.5
14.984,0.5,1282.5
15.017,0.5,1282.5
15.05,0.5,1282.5
15.084,0.5,1282.5
15.117,0.5,1282.5
15.15,0.5,1282.5
15.184,0.5,1282.5
15.217,0.5,1282.5
15.25,0.5,1282.4
15.284,0.5,1282.4
15.317,0.5,1282.4
15.35,0.5,1282.5
15.384,0.5,1282.5
15.417,0.5,1282.4
15.45,0.5,1282.4
15.484,0.5,1282.4
15.517,0.5,1282.4
15.55,0.5,1282.4
15.584,0.5,1282.4
15.617,0.5,1282.4
15.65,0.5,1282.4
15.684,0.5,1282.4
15.717,0.5,1282.4
15.75,0.5,1282.4
15.784,0.5,1282.4
15.817,0.5,1282.4
15.85,0.5,1282.4
15.884,0.5,1282.4
15.917,0.5,1282.4
15.95,0.5,1282.4
15.984,0.5,1282.4
16.017,0.5,1282.4
16.05,0.5,1282.4
16.084,0.5,1282.4
16.117,0.5,1282.4
16.15,0.5,1282.4
16.184,0.5,1282.4
16.217,0.5,1282.3
16.25,0.5,1282.3
16.284,0.5,1282.4
16.317,0.5,1282.4
16.35,0.5,1282.4
16.384,0.5,1282.4
16.417,0.5,1282.4
16.45,0.5,1282.4
16.484,0.5,1282.3
16.517,0.5,1282.3
16.55,0.5,1282.3
16.584,0.5,1282.3
16.617,0.5,1282.3
16.65,0.5,1282.3
16.684,0.5,1282.4
16.717,0.5,1282.4
16.75,0.5,1282.4
16.784,0.5,1282.4
16.817,0.5,1282.3
16.85,0.5,1282.3
16.884,0.5,1282.3
16.917,0.5,1282.3
16.95,0.5,1282.3
16.984,0.5,1282.4
17.017,0.5,1282.3
17.05,0.5,1282.3
17.084,0.5,1282.3
17.117,0.5,1282.3
17.15,0.5,1282.3
17.184,0.5,1282.3
17.217,0.5,1282.3
17.25,0.5,1282.3
17.284,0.5,1282.2
17.317,0.5,1282.2
17.35,0.5,1282.3
17.384,0.5,1282.3
17.417,0.5,1282.3
17.45,0.5,1282.3
17.484,0.5,1282.3
17.517,0.5,1282.3
17.55,0.5,1282.2
17.584,0.5,1282.2
17.617,0.5,1282.2
17.65,0.5,1282.2
17.684,0.5,1282.2
17.717,0.5,1282.2
17.75,0.5,1282.1
17.784,0.5,1282.2
17.817,0.5,1282.2
17.85,0.5,1282.2
17.884,0.5,1282.2
17.917,0.5,1282.2
17.95,0.5,1282.2
17.984,0.5,1282.2
18.017,0.5,1282.2
18.05,0.5,1282.1
18.084,0.5,1282.1
18.117,0.5,1282.1
18.15,0.5,1282.1
18.184,0.5,1282.1
18.217,0.5,1282.1
18.25,0.5,1282.2
18.284,0.5,1282.2
18.317,0.5,1282.2
18.35,0.5,1282.1
18.384,0.5,1282.1
18.417,0.5,1282.1
18.45,0.5,1282.1
18.484,0.5,1282.1
18.517,0.5,1282.1
18.55,0.5,1282.1
18.584,0.5,1282.1
18.617,0.5,1282.1
18.65,0.5,1282.1
18.684,0.5,1282.1
18.717,0.5,1282.1
18.75,0.5,1282.1
18.784,0.5,1282.1
18.817,0.5,1282.1
18.85,0.5,1282.1
18.884,0.5,1282.1
18.917,0.5,1282.1
18.95,0.5,1282.1
18.984,0.5,1282.1
19.017,0.5,1282.1
19.05,0.5,1282
19.084,0.5,1282
19.117,0.5,1282.1
19.15,0.5,1282.1
19.184,0.5,1282.1
19.217,0.5,1282.1
19.25,0.5,1282.1
19.284,0.5,1282.1
19.317,0.5,1282.1
19.35,0.5,1282.1
19.384,0.5,1282.1
19.417,0.5,1282.1
19.45,0.5,1282.1
19.484,0.5,1282
19.517,0.5,1282
19.55,0.5,1282
19.584,0.5,1282
19.617,0.5,1282.1
19.65,0.5,1282.1
19.684,0.5,1282.1
19.717,0.5,1282
19.75,0.5,1282
19.784,0.5,1282
19.817,0.5,1282
19.85,0.5,1282
19.884,0.5,1282
19.917,0.5,1282.1
19.95,0.5,1282.1
19.984,0.5,1282.1
20.017,0.5,1282.1
20.05,0.5,1282.1
20.084,0.5,1282
20.117,0.5,1282.1
20.15,0.5,1282.1
20.184,0.5,1282.1
20.217,0.5,1282
20.25,0.5,1282
20.284,0.5,1282
20.317,0.5,1282
20.35,0.5,1282
20.384,0.5,1282
20.417,0.5,1282.1
20.45,0.5,1282.1
20.484,0.5,1282
20.517,0.5,1282
20.55,0.5,1282
20.584,0.5,1282
20.617,0.5,1282
20.65,0.5,1282
20.684,0.5,1282
20.717,0.5,1282
20.75,0.5,1282
20.784,0.5,1282
20.817,0.5,1282
20.85,0.5,1282
20.884,0.5,1282
20.917,0.5,1282
20.95,0.5,1282
20.984,0.5,1282
21.017,0.5,1282
21.05,0.5,1282
21.084,0.5,1282
21.117,0.5,1282
21.15,0.5,1282
21.184,0.5,1282
21.217,0.5,1282
21.25,0.5,1282
21.284,0.5,1281.9
21.317,0.5,1281.9
21.35,0.5,1281.9
21.384,0.5,1281.9
21.417,0.5,1281.9
21.45,0.5,1281.9
21.484,0.5,1281.9
21.517,0.5,1281.9
21.55,0.5,1281.9
21.584,0.5,1281.9
21.617,0.5,1281.9
21.65,0.5,1281.9
21.684,0.5,1281.9
21.717,0.5,1281.9
21.75,0.5,1281.9
21.784,0.5,1281.9
21.817,0.5,1281.9
21.851,0.5,1281.9
21.884,0.5,1281.9
21.917,0.5,1281.9
21.95,0.5,1281.9
21.984,0.5,1281.9
22.017,0.5,1281.9
22.05,0.5,1281.9
22.084,0.5,1281.9
22.117,0.5,1281.9
22.151,0.5,1281.9
22.184,0.5,1281.9
22.217,0.5,1281.9
22.25,0.5,1281.8
22.284,0.5,1281.8
22.317,0.5,1281.9
22.351,0.5,1281.9
22.384,0.5,1281.9
22.417,0.5,1281.9
22.451,0.5,1281.9
22.484,0.5,1281.9
22.517,0.5,1281.9
22.551,0.5,1281.9
22.584,0.5,1281.9
22.617,0.5,1281.9
22.651,0.5,1281.9
22.684,0.5,1281.8
22.717,0.5,1281.8
22.751,0.5,1281.8
22.784,0.5,1281.8
22.817,0.5,1281.8
22.851,0.5,1281.8
22.884,0.5,1281.8
22.917,0.5,1281.8
22.951,0.5,1281.8
22.984,0.5,1281.8
23.017,0.5,1281.8
23.051,0.5,1281.8
23.084,0.5,1281.8
23.117,0.5,1281.9
23.151,0.5,1281.9
23.184,0.5,1281.8
23.217,0.5,1281.8
23.251,0.5,1281.8
23.284,0.5,1281.8
23.317,0.5,1281.8
23.351,0.5,1281.8
23.384,0.5,1281.8
23.417,0.5,1281.8
23.451,0.5,1281.8
23.484,0.5,1281.8
23.517,0.5,1281.8
23.551,0.5,1281.8
23.584,0.5,1281.8
23.617,0.5,1281.8
23.651,0.5,1281.8
23.684,0.5,1281.8
23.717,0.5,1281.8
23.751,0.5,1281.8
23.784,0.5,1281.8
23.817,0.5,1281.8
23.851,0.5,1281.8
23.884,0.5,1281.7
23.917,0.5,1281.7
23.951,0.5,1281.7
23.984,0.5,1281.7
24.017,0.5,1281.7
24.051,0.5,1281.7
24.084,0.5,1281.7
24.117,0.5,1281.7
24.151,0.5,1281.7
24.184,0.5,1281.7
24.217,0.5,1281.7
24.251,0.5,1281.7
24.284,0.5,1281.7
24.317,0.5,1281.7
24.351,0.5,1281.7
24.384,0.5,1281.7
24.417,0.5,1281.7
24.451,0.5,1281.7
24.484,0.5,1281.7
24.517,0.5,1281.7
24.551,0.5,1281.7
24.584,0.5,1281.7
24.617,0.5,1281.7
24.651,0.5,1281.7
24.684,0.5,1281.7
24.717,0.5,1281.7
24.751,0.5,1281.7
24.784,0.5,1281.7
24.817,0.5,1281.7
24.851,0.5,1281.7
24.884,0.5,1281.7
24.917,0.5,1281.7
24.951,0.5,1281.7
24.984,0.5,1281.7
25.017,0.5,1281.7
25.051,0.5,1281.7
25.084,0.5,1281.7
25.117,0.5,1281.7
25.151,0.5,1281.7
25.184,0.5,1281.7
25.217,0.5,1281.7
25.251,0.5,1281.6
25.284,0.5,1281.6
25.317,0.5,1281.6
25.351,0.5,1281.6
25.384,0.5,1281.6
25.417,0.5,1281.6
25.451,0.5,1281.6
25.484,0.5,1281.6
25.517,0.5,1281.6
25.551,0.5,1281.6
25.584,0.5,1281.6
25.617,0.5,1281.6
25.651,0.5,1281.6
25.684,0.5,1281.6
25.717,0.5,1281.6
25.751,0.5,1281.5
25.784,0.5,1281.5
25.817,0.5,1281.5
25.851,0.5,1281.5
25.884,0.5,1281.6
25.917,0.5,1281.5
25.951,0.5,1281.5
25.984,0.5,1281.5
26.017,0.5,1281.6
26.051,0.5,1281.6
26.084,0.5,1281.6
26.117,0.5,1281.6
26.151,0.5,1281.6
26.184,0.5,1281.6
26.217,0.5,1281.6
26.251,0.5,1281.6
26.284,0.5,1281.5
26.317,0.5,1281.5
26.351,0.5,1281.5
26.384,0.5,1281.4
26.417,0.5,1281.5
26.451,0.5,1281.5
26.484,0.5,1281.5
26.517,0.5,1281.5
26.551,0.5,1281.5
26.584,0.5,1281.5
26.617,0.5,1281.5
26.651,0.5,1281.5
26.684,0.5,1281.5
26.717,0.5,1281.4
26.751,0.5,1281.4
26.784,0.5,1281.4
26.817,0.5,1281.4
26.851,0.5,1281.4
26.884,0.5,1281.4
26.917,0.5,1281.4
26.951,0.5,1281.4
26.984,0.5,1281.4
27.017,0.5,1281.4
27.051,0.5,1281.4
27.084,0.5,1281.4
27.117,0.5,1281.4
27.151,0.5,1281.4
27.184,0.5,1281.4
27.217,0.5,1281.4
27.251,0.5,1281.4
27.284,0.5,1281.4
27.317,0.5,1281.4
27.351,0.5,1281.4
27.384,0.5,1281.5
27.417,0.5,1281.5
27.451,0.5,1281.4
27.484,0.5,1281.4
27.517,0.5,1281.4
27.551,0.5,1281.4
27.584,0.5,1281.4
27.617,0.5,1281.4
27.651,0.5,1281.5
27.684,0.5,1281.5
27.717,0.5,1281.5
27.751,0.5,1281.4
27.784,0.5,1281.4
27.817,0.5,1281.4
27.851,0.5,1281.4
27.884,0.5,1281.4
27.917,0.5,1281.4
27.951,0.5,1281.3
27.984,0.5,0
28.017,0.5,1281.3
28.051,0.5,1281.3
28.084,0.5,1281.3
28.117,0.5,1281.3
28.151,0.5,1281.3
28.184,0.5,1281.3
28.217,0.5,1281.3
28.251,0.5,1281.4
28.284,0.5,1281.4
28.317,0.5,1281.3
28.351,0.5,1281.3
28.384,0.5,1281.3
28.417,0.5,1281.3
28.451,0.5,1281.4
28.484,0.5,1281.4
28.517,0.5,1281.2
28.551,0.5,1281.3
28.584,0.5,1281.3
28.617,0.5,1281.3
28.651,0.5,1281.3
28.684,0.5,1281.3
28.717,0.5,1281.3
28.751,0.5,1281.3
28.784,0.5,1281.3
28.817,0.5,1281.3
28.851,0.5,1281.3
28.884,0.5,1281.3
28.918,0.5,1281.1
28.951,0.5,1281.3
29.451,0.5,1281.2
29.484,0.5,1281.1
29.518,0.5,1281.2
29.551,0.5,1281.2
29.584,0.5,1281.1
29.617,0.5,1281.1
29.651,0.5,1281.1
29.684,0.5,1281.2
29.717,0.5,1281.1
29.751,0.5,1281.1
29.784,0.5,1281
29.817,0.5,1281.2
29.851,0.5,1281.2
29.884,0.5,1281.2
29.918,0.5,1281.2
29.951,0.5,1281.2
29.984,0.5,1281
30.018,0.5,1281
30.051,0.5,1281
30.084,0.5,1281
30.118,0.5,1281.1
30.151,0.5,1281.1
30.184,0.5,1281.1
30.218,0.5,1281.1
30.251,0.5,1281.1
30.284,0.5,1281.1
30.317,0.5,1281.1
30.351,0.5,1281.1
30.384,0.5,1281.1
30.417,0.5,1281.1
30.451,0.5,1281.1
30.484,0.5,1281.1
30.518,0.5,1281.1
30.551,0.5,1281.1
30.584,0.5,1281
